Model,Accuracy,Classification Report
Logistic Regression,0.8243243243243243,"{'Code/Spec Sheet': {'precision': 0.5714285714285714, 'recall': 0.6666666666666666, 'f1-score': 0.6153846153846154, 'support': 12.0}, 'Construction Sheet': {'precision': 0.9473684210526315, 'recall': 0.8780487804878049, 'f1-score': 0.9113924050632911, 'support': 41.0}, 'MEP Sheet': {'precision': 0.7727272727272727, 'recall': 0.8095238095238095, 'f1-score': 0.7906976744186046, 'support': 21.0}, 'accuracy': 0.8243243243243243, 'macro avg': {'precision': 0.7638414217361585, 'recall': 0.7847464188927603, 'f1-score': 0.7724915649555038, 'support': 74.0}, 'weighted avg': {'precision': 0.8368448763185604, 'recall': 0.8243243243243243, 'f1-score': 0.8291399345270408, 'support': 74.0}}"
Random Forest,0.8513513513513513,"{'Code/Spec Sheet': {'precision': 0.6, 'recall': 0.75, 'f1-score': 0.6666666666666666, 'support': 12.0}, 'Construction Sheet': {'precision': 0.9024390243902439, 'recall': 0.9024390243902439, 'f1-score': 0.9024390243902439, 'support': 41.0}, 'MEP Sheet': {'precision': 0.9444444444444444, 'recall': 0.8095238095238095, 'f1-score': 0.8717948717948718, 'support': 21.0}, 'accuracy': 0.8513513513513513, 'macro avg': {'precision': 0.815627822944896, 'recall': 0.820654277971351, 'f1-score': 0.813633520950594, 'support': 74.0}, 'weighted avg': {'precision': 0.8653153153153152, 'recall': 0.8513513513513513, 'f1-score': 0.8555093555093555, 'support': 74.0}}"
SVM,0.7162162162162162,"{'Code/Spec Sheet': {'precision': 1.0, 'recall': 0.5, 'f1-score': 0.6666666666666666, 'support': 12.0}, 'Construction Sheet': {'precision': 0.7090909090909091, 'recall': 0.9512195121951219, 'f1-score': 0.8125, 'support': 41.0}, 'MEP Sheet': {'precision': 0.6153846153846154, 'recall': 0.38095238095238093, 'f1-score': 0.47058823529411764, 'support': 21.0}, 'accuracy': 0.7162162162162162, 'macro avg': {'precision': 0.7748251748251748, 'recall': 0.610723964382501, 'f1-score': 0.6499183006535948, 'support': 74.0}, 'weighted avg': {'precision': 0.7296730296730297, 'recall': 0.7162162162162162, 'f1-score': 0.6918223370429253, 'support': 74.0}}"
Gradient Boosting,0.8918918918918919,"{'Code/Spec Sheet': {'precision': 0.75, 'recall': 0.75, 'f1-score': 0.75, 'support': 12.0}, 'Construction Sheet': {'precision': 0.8863636363636364, 'recall': 0.9512195121951219, 'f1-score': 0.9176470588235294, 'support': 41.0}, 'MEP Sheet': {'precision': 1.0, 'recall': 0.8571428571428571, 'f1-score': 0.9230769230769231, 'support': 21.0}, 'accuracy': 0.8918918918918919, 'macro avg': {'precision': 0.8787878787878788, 'recall': 0.8527874564459931, 'f1-score': 0.8635746606334841, 'support': 74.0}, 'weighted avg': {'precision': 0.8964987714987716, 'recall': 0.8918918918918919, 'f1-score': 0.8920019567078391, 'support': 74.0}}"
